Unnamed: 0,id,place,speedrun_link,primary_time_seconds,real_time_seconds,player_name,player_country,platform,verified
0,zp56lrry,1,http://www.speedrun.com/sm64/run/zp56lrry,374.19,374.19,Suigi,Canada,N64,Yes
1,m3vr6ggz,2,http://www.speedrun.com/sm64/run/m3vr6ggz,379.14,379.14,Parsee02,Japan,N64,Yes
2,yo5x381z,3,http://www.speedrun.com/sm64/run/yo5x381z,379.73,379.73,cjrokokomero,Italy,N64,Yes
3,z00x1qoz,4,http://www.speedrun.com/sm64/run/z00x1qoz,385.1,385.1,ZUMMI,Italy,EMU,Yes
4,ydl4l90z,5,http://www.speedrun.com/sm64/run/ydl4l90z,386.4,386.4,DuckTapeDuck,,EMU,Yes
5,zq50worz,6,http://www.speedrun.com/sm64/run/zq50worz,387.1,387.1,MmaARriOy_,Japan,N64,Yes
6,ywjg8w9z,7,http://www.speedrun.com/sm64/run/ywjg8w9z,387.38,387.38,tokumeiR,Antarctica,N64,Yes
7,yd4elvqy,8,http://www.speedrun.com/sm64/run/yd4elvqy,390.02,390.02,Poke,United States,N64,Yes
8,zx0l2pez,9,http://www.speedrun.com/sm64/run/zx0l2pez,390.7,390.7,treybordo,United States,N64,Yes
9,mr988ogm,10,http://www.speedrun.com/sm64/run/mr988ogm,392.15,392.15,Dowsky,United States,N64,Yes
10,y6qdo8pz,11,http://www.speedrun.com/sm64/run/y6qdo8pz,393.1,393.1,Tag609,United States,N64,Yes
11,zqpen89m,12,http://www.speedrun.com/sm64/run/zqpen89m,395.03,395.03,Banova8,France,N64,Yes
12,y6j87r6m,13,http://www.speedrun.com/sm64/run/y6j87r6m,395.12,395.12,darkdog47,United States,N64,Yes
13,y9wo492z,14,http://www.speedrun.com/sm64/run/y9wo492z,395.35,395.35,Kinosura,France,N64,Yes
14,y2221wjy,15,http://www.speedrun.com/sm64/run/y2221wjy,400.45,400.45,Majoog,South Korea,N64,Yes
15,y6en9gpz,16,http://www.speedrun.com/sm64/run/y6en9gpz,401.9,401.9,NotGorilla,Sweden,EMU,No
16,zg89j6ey,17,http://www.speedrun.com/sm64/run/zg89j6ey,403.9,403.9,Raisn,Germany,N64,Yes
17,8yv24rem,18,http://www.speedrun.com/sm64/run/8yv24rem,404.23,404.23,,,N64,Yes
18,z1v58d7z,19,http://www.speedrun.com/sm64/run/z1v58d7z,404.6,404.6,Weegee,United States,N64,Yes
19,yv7nkd6y,20,http://www.speedrun.com/sm64/run/yv7nkd6y,404.66,404.66,Ian_1243,Peru,EMU,Yes
20,dy4jg0ny,21,http://www.speedrun.com/sm64/run/dy4jg0ny,404.7,404.7,Xiah,Japan,N64,Yes
21,y4nl46km,22,http://www.speedrun.com/sm64/run/y4nl46km,405.23,405.23,JumboJolt,Antarctica,EMU,Yes
22,z17qx99z,23,http://www.speedrun.com/sm64/run/z17qx99z,405.25,405.25,turara32767,Japan,N64,Yes
23,mrr912dm,24,http://www.speedrun.com/sm64/run/mrr912dm,405.67,405.67,wara,Japan,N64,Yes
24,zxxd815z,25,http://www.speedrun.com/sm64/run/zxxd815z,406.4,406.4,xWicko,Australia,N64,Yes
25,y2g8507z,26,http://www.speedrun.com/sm64/run/y2g8507z,408.03,408.03,Zhilkan,Spain,EMU,Yes
26,yd1ervvy,27,http://www.speedrun.com/sm64/run/yd1ervvy,408.4,408.4,nobori56,Japan,N64,Yes
27,y6r7wn0y,28,http://www.speedrun.com/sm64/run/y6r7wn0y,408.99,408.99,taihou,Japan,EMU,No
28,m7g1k9em,29,http://www.speedrun.com/sm64/run/m7g1k9em,409.08,409.08,TriforceTK,United States,EMU,Yes
29,z0x6goez,30,http://www.speedrun.com/sm64/run/z0x6goez,409.57,409.57,Miton,Japan,N64,Yes
30,y48v3wqm,31,http://www.speedrun.com/sm64/run/y48v3wqm,410.17,410.17,Xein64,Germany,N64,Yes
31,yjeqq93m,32,http://www.speedrun.com/sm64/run/yjeqq93m,411.13,411.13,Everchix,Japan,N64,Yes
32,z5pqggjm,33,http://www.speedrun.com/sm64/run/z5pqggjm,412.05,412.05,asandal,United States,N64,Yes
33,me1vq13y,34,http://www.speedrun.com/sm64/run/me1vq13y,412.31,412.31,saksdal,United States,N64,Yes
34,yw2pel3y,35,http://www.speedrun.com/sm64/run/yw2pel3y,412.64,412.64,Louis64,Germany,N64,Yes
35,yv8nvvom,36,http://www.speedrun.com/sm64/run/yv8nvvom,413.05,413.05,Nils,Sweden,N64,Yes
36,m70do89y,37,http://www.speedrun.com/sm64/run/m70do89y,413.83,413.83,Nicolascs83,Spain,N64,Yes
37,yon4rgdz,38,http://www.speedrun.com/sm64/run/yon4rgdz,413.85,413.85,CyanogenSm64,Uzbekistan,VC,No
38,z1lv8x7m,39,http://www.speedrun.com/sm64/run/z1lv8x7m,413.86,413.86,Sunnard,France,EMU,Yes
39,yoe1ne5z,40,http://www.speedrun.com/sm64/run/yoe1ne5z,413.93,413.93,Vadien,United States,N64,Yes
40,z0ogd1ez,41,http://www.speedrun.com/sm64/run/z0ogd1ez,414.44,414.44,kiliaaan,Germany,EMU,Yes
41,z00vnj9z,42,http://www.speedrun.com/sm64/run/z00vnj9z,414.46,414.46,lerrythelobtser,Canada,N64,Yes
42,zngdk7vm,43,http://www.speedrun.com/sm64/run/zngdk7vm,415.43,415.43,GrievousD2,Canada,N64,Yes
43,z5e9wp5z,44,http://www.speedrun.com/sm64/run/z5e9wp5z,415.56,415.56,Kaimatix,England,N64,Yes
44,z5lgr4dy,45,http://www.speedrun.com/sm64/run/z5lgr4dy,415.76,415.76,dekitan,Japan,N64,Yes
45,zg9op4jm,46,http://www.speedrun.com/sm64/run/zg9op4jm,415.91,415.91,geek,Germany,N64,Yes
46,y8g5jlwz,47,http://www.speedrun.com/sm64/run/y8g5jlwz,415.96,415.96,Mauir,Chile,N64,Yes
47,0y6j56jm,48,http://www.speedrun.com/sm64/run/0y6j56jm,415.98,415.98,gohanie,Japan,N64,Yes
48,zp6op28m,49,http://www.speedrun.com/sm64/run/zp6op28m,416.01,416.01,RetroTorpedo,Germany,EMU,Yes
49,y9vkxnvm,50,http://www.speedrun.com/sm64/run/y9vkxnvm,417.11,417.11,Thomkar,Norway,N64,Yes
50,y2kv4q6y,51,http://www.speedrun.com/sm64/run/y2kv4q6y,418.21,418.21,Phoenix,Australia,VC,Yes
51,yldnrk3m,52,http://www.speedrun.com/sm64/run/yldnrk3m,418.65,418.65,Nonag,Germany,EMU,Yes
52,yj9pe5oz,53,http://www.speedrun.com/sm64/run/yj9pe5oz,418.76,418.76,Linkarf,Québec,N64,Yes
53,z0948jjz,54,http://www.speedrun.com/sm64/run/z0948jjz,418.95,418.95,Finnii602,Germany,VC,Yes
54,z0j0k3jy,55,http://www.speedrun.com/sm64/run/z0j0k3jy,418.98,418.98,piegolds,Australia,EMU,Yes
55,y8dj04xz,56,http://www.speedrun.com/sm64/run/y8dj04xz,419.05,419.05,tami,Japan,N64,Yes
56,yjdj0g3y,57,http://www.speedrun.com/sm64/run/yjdj0g3y,419.08,419.08,Karin,Japan,N64,Yes
57,mroenx2m,58,http://www.speedrun.com/sm64/run/mroenx2m,419.16,419.16,spener1122,Canada,N64,Yes
58,yvv2386y,59,http://www.speedrun.com/sm64/run/yvv2386y,419.68,419.68,oatslice,Australia,N64,Yes
59,z5xlg2ny,60,http://www.speedrun.com/sm64/run/z5xlg2ny,420.0,420.0,Burnito,France,N64,Yes
60,y4grwqdy,60,http://www.speedrun.com/sm64/run/y4grwqdy,420.0,420.0,ShaDowSPoweR,France,EMU,Yes
61,y6okpnjy,62,http://www.speedrun.com/sm64/run/y6okpnjy,421.0,421.0,BenedictFleur123,Netherlands,EMU,Yes
62,zg6r0gdm,62,http://www.speedrun.com/sm64/run/zg6r0gdm,421.0,421.0,ADRki11er,Brazil,EMU,Yes
63,m7ll58ey,64,http://www.speedrun.com/sm64/run/m7ll58ey,423.0,423.0,BigCheese,United States,N64,Yes
64,m7pknkem,65,http://www.speedrun.com/sm64/run/m7pknkem,424.0,424.0,Fafel,Japan,N64,Yes
65,yoxkqgjy,65,http://www.speedrun.com/sm64/run/yoxkqgjy,424.0,424.0,Amush_MashB,,EMU,Yes
66,zn25l53z,67,http://www.speedrun.com/sm64/run/zn25l53z,425.0,425.0,fattylugia,United States,EMU,Yes
67,yvx40w4z,68,http://www.speedrun.com/sm64/run/yvx40w4z,428.0,428.0,Soda,,N64,Yes
68,m7e4r3wz,68,http://www.speedrun.com/sm64/run/m7e4r3wz,428.0,428.0,Taylor,United States,N64,Yes
69,z0xgo8jz,70,http://www.speedrun.com/sm64/run/z0xgo8jz,429.0,429.0,Blahaj64,Canada,N64,Yes
70,z5d68e5m,71,http://www.speedrun.com/sm64/run/z5d68e5m,430.0,430.0,gamiru,Japan,N64,No
71,yv7p084y,71,http://www.speedrun.com/sm64/run/yv7p084y,430.0,430.0,ChiaraSM64,France,EMU,Yes
72,ylj8r9km,71,http://www.speedrun.com/sm64/run/ylj8r9km,430.0,430.0,taciturn,United States,EMU,Yes
73,zn5gex3z,71,http://www.speedrun.com/sm64/run/zn5gex3z,430.0,430.0,Gemini_,Australia,N64,Yes
74,yoe54g7z,75,http://www.speedrun.com/sm64/run/yoe54g7z,431.0,431.0,turtlehippo,Canada,N64,Yes
75,y9x74r2y,76,http://www.speedrun.com/sm64/run/y9x74r2y,434.0,434.0,Bluth,United States,N64,No
76,yj9lll7z,76,http://www.speedrun.com/sm64/run/yj9lll7z,434.0,434.0,Kudo,France,N64,Yes
77,z1p7x9jz,78,http://www.speedrun.com/sm64/run/z1p7x9jz,435.0,435.0,Goldrush,Japan,N64,Yes
78,yl1vl72m,78,http://www.speedrun.com/sm64/run/yl1vl72m,435.0,435.0,MrDasho,Ecuador,EMU,Yes
79,z16783gm,80,http://www.speedrun.com/sm64/run/z16783gm,436.0,436.0,LightBlue,Canada,N64,Yes
80,me30vp9z,81,http://www.speedrun.com/sm64/run/me30vp9z,437.0,437.0,SaschaSR,Germany,EMU,Yes
81,z17g92wz,82,http://www.speedrun.com/sm64/run/z17g92wz,438.0,438.0,Kayleee,Canada,N64,Yes
82,yl7lj42m,83,http://www.speedrun.com/sm64/run/yl7lj42m,439.0,439.0,Cysse,France,EMU,Yes
83,ylp7w3km,83,http://www.speedrun.com/sm64/run/ylp7w3km,439.0,439.0,Avatar,United States,N64,Yes
84,ywnvl3ny,85,http://www.speedrun.com/sm64/run/ywnvl3ny,440.0,440.0,FailmanFlo,Germany,N64,Yes
85,zgox3rvm,85,http://www.speedrun.com/sm64/run/zgox3rvm,440.0,440.0,vitroncio,Brazil,N64,Yes
86,men72e2m,85,http://www.speedrun.com/sm64/run/men72e2m,440.0,440.0,welfare_ninja,Canada,N64,Yes
87,oy2n26yd,88,http://www.speedrun.com/sm64/run/oy2n26yd,441.0,441.0,,,N64,Yes
88,7z08d4m5,88,http://www.speedrun.com/sm64/run/7z08d4m5,441.0,441.0,Mese,Japan,N64,Yes
89,zpxw338m,88,http://www.speedrun.com/sm64/run/zpxw338m,441.0,441.0,flow,Brazil,EMU,Yes
90,mep6dj3y,88,http://www.speedrun.com/sm64/run/mep6dj3y,441.0,441.0,Gychi,Mexico,EMU,Yes
91,yv77jlxy,92,http://www.speedrun.com/sm64/run/yv77jlxy,442.0,442.0,NaeNaeEpicSwag,United States,N64,Yes
92,wzp7ll8z,93,http://www.speedrun.com/sm64/run/wzp7ll8z,443.0,443.0,,,N64,Yes
93,yo44dldm,93,http://www.speedrun.com/sm64/run/yo44dldm,443.0,443.0,360Chrism,Germany,VC,Yes
94,yvo5ro8z,93,http://www.speedrun.com/sm64/run/yvo5ro8z,443.0,443.0,nono_6328,Japan,N64,No
95,z5g38onm,93,http://www.speedrun.com/sm64/run/z5g38onm,443.0,443.0,FGSM,Scotland,EMU,Yes
96,y4nk11nm,93,http://www.speedrun.com/sm64/run/y4nk11nm,443.0,443.0,aoja,Japan,N64,Yes
97,0y6gv1m7,98,http://www.speedrun.com/sm64/run/0y6gv1m7,445.0,445.0,,,N64,Yes
98,y9668wey,99,http://www.speedrun.com/sm64/run/y9668wey,446.0,446.0,TheCrit,United States,EMU,Yes
99,y6jjne6m,99,http://www.speedrun.com/sm64/run/y6jjne6m,446.0,446.0,Rynnoo,United States,N64,Yes
